SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
RELIANCE, EQ, 21-Oct-2020,2155.9,2168.0,2192.0,2097.75, 2122.65,2124.6,2143.87,15729989,337231.25,399065, 3975978, 25.28
RELIANCE, EQ, 12-Aug-2020,2133.8,2121.0,2145.0,2106.8,2126.55,2127.6,2129.79,13967529,297478.58,308155, 2213804, 15.85
RELIANCE, EQ, 07-Feb-2020,1457.8,1451.0,1452.35,1428.3, 1432.00,1433.65,1437.06,5581641,80211.39,134128, 2493746, 44.68
RELIANCE, EQ, 15-Mar-2022,2418.85,2427.95,2427.95,2340.85,2362.0,2363.45,2386.09,7349740,175371.37,257511, 3924279, 53.39
RELIANCE, EQ, 27-Jan-2022,2373.25,2336.0,2356.1,2311.05, 2347.00,2338.1,2333.67,9239426,215617.8,315266, 5271565, 57.06
RELIANCE, EQ, 07-Dec-2020,1946.75,1940.6,1965.0,1940.6, 1958.35,1958.2,1955.62,8418767,164638.94,267040, 3706525, 44.03
RELIANCE, EQ, 30-May-2022,2575.1,2615.0,2674.0,2594.2, 2668.00,2664.8,2640.57,6393341,168820.84,176733, 2716871, 42.50
RELIANCE, EQ, 22-Apr-2020,1237.35,1320.0,1384.9,1300.0,1359.0,1363.6,1341.48,65230894,875059.43,1194059, 15175508, 23.26
RELIANCE, EQ, 18-Mar-2021,2055.35,2072.9,2084.8,2001.0, 2010.00,2009.1,2038.79,9528809,194272.31,295771, 4198315, 44.06
RELIANCE, EQ, 10-Jun-2020,1537.15,1543.1,1579.55,1540.05, 1575.00,1572.15,1556.73,10214426,159010.58,262174, 2815033, 27.56
RELIANCE, EQ, 26-Feb-2021,2144.35,2117.0,2133.9,2070.7,2079.5,2085.8,2096.69,17297575,362676.02,489066, 7330239, 42.38
RELIANCE, EQ, 14-Oct-2021,2694.95,2700.35,2717.45,2687.2,2701.0,2700.4,2700.84,3979730,107485.97,144964, 2254495, 56.65
RELIANCE, EQ, 21-Sep-2021,2394.35,2405.0,2416.6,2384.0, 2400.00,2404.7,2401.93,4576111,109915.11,149803, 2365643, 51.70
RELIANCE, EQ, 06-Jan-2021,1966.1,1965.9,1966.0,1905.15, 1915.50,1914.25,1928.17,21414270,412903.68,659284, 9038101, 42.21
RELIANCE, EQ, 19-Oct-2020,2175.8,2190.05,2228.7,2155.15, 2175.50,2176.2,2189.75,14399062,315303.32,363717, 3772907, 26.20
RELIANCE, EQ, 11-May-2021,1926.2,1915.0,1938.55,1910.0, 1933.90,1933.15,1929.4,6220217,120012.89,175976, 3035544, 48.80
RELIANCE, EQ, 23-Jul-2021,2120.7,2134.45,2134.45,2102.05,2104.0,2105.7,2119.06,4585938,97178.86,143981, 2219555, 48.40
RELIANCE, EQ, 22-Apr-2022,2782.1,2758.9,2802.0,2744.2, 2762.00,2758.8,2768.55,6947490,192344.87,221036, 3113096, 44.81
RELIANCE, EQ, 10-Jun-2022,2798.75,2771.9,2789.9,2701.5,2713.9,2714.25,2740.01,8349943,228789.44,278759, 4608963, 55.20
RELIANCE, EQ, 02-Jul-2020,1737.6,1743.0,1767.6,1735.05, 1759.50,1760.35,1755.2,13286760,233208.64,262833, 3239259, 24.38
RELIANCE, EQ, 19-Nov-2019,1459.2,1467.0,1514.9,1465.0, 1511.55,1509.75,1496.45,13795569,206443.25,285115, 4937220, 35.79
RELIANCE, EQ, 07-Feb-2022,2331.3,2342.0,2356.8,2305.0, 2319.40,2317.1,2330.89,4944725,115255.87,243702, 2190778, 44.31
RELIANCE, EQ, 12-Aug-2022,2591.1,2590.3,2641.35,2582.2,2632.0,2633.0,2626.23,5838244,153325.63,256139, 2683554, 45.97
RELIANCE, EQ, 27-Nov-2020,1952.6,1940.5,1956.1,1921.4,1940.5,1929.8,1935.45,21845931,422816.38,314085, 12489338, 57.17
RELIANCE, EQ, 27-Jan-2020,1521.55,1514.9,1524.45,1505.0, 1508.00,1506.55,1513.43,6120429,92628.15,130826, 2671210, 43.64
RELIANCE, EQ, 09-Jun-2021,2214.6,2219.0,2221.0,2157.95,2178.0,2175.0,2189.57,5265326,115288.03,167739, 1817182, 34.51
RELIANCE, EQ, 14-Sep-2020,2319.75,2325.0,2360.0,2282.0,2296.25,2302.55,2323.57,20335480,472509.41,450188, 3578138, 17.60
RELIANCE, EQ, 16-Jul-2020,1844.0,1847.0,1869.0,1812.45, 1842.05,1843.4,1844.01,28133993,518794.21,543130, 6562839, 23.33
